Eddard,Stark,Ned@westeros.net,Research & Development,100,101
Benjen,Stark,ColdHands@westeros.net,Auditing,601,102
Catelyn,Stark,Mother@westeros.net,Human Resources,302,103
Arya,Stark,A_Girl@westeros.net,Research & Development,103,104
Robb,Stark,YoungWolf@westeros.net,Research & Development,104,105
Sansa,Stark,LittleDove@westeros.net,Research & Development,105,106
Bran,Stark,TheRaven@westeros.net,Research & Development,106,107
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107,108
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608,109
Tyrion,Lannister,TheImp@westeros.net,Accounting,409,110
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410,111
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411,112
Robert,Baratheon,TheUsurper@westeros.net,Sales,512,113
Stannis,Baratheon,ThePromised@westeros.net,Sales,513,114
Renly,Baratheon,SummerKing@westeros.net,Sales,514,115
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215,116
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216,117
