Eddard,Stark,Ned@westeros.net,Research and Development,101
Benjen,Stark,ColdHands@westeros.net,Auditing,601
Catelyn,Stark,Mother@westeros.net,Human Resources,301
Arya,Stark,A_Girl@westeros.net,Research and Development,102
Robb,Stark,YoungWolf@westeros.net,Research and Development,103
Sansa,Stark,LittleDove@westeros.net,Research and Development,104
Bran,Stark,TheRaven@westeros.net,Research and Development,105
Rickon,Stark,Shaggydog@westeros.net,Research and Development,106
Jon,Snow,TheGhostBrother@westeros.net,Auditing,602
Tyrion,Lannister,TheImp@westeros.net,Accounting,401
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,402
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,403
Robert,Baratheon,TheUsurper@westeros.net,Sales,501
Stannis,Baratheon,ThePromised@westeros.net,Sales,502
Renly,Baratheon,SummerKing@westeros.net,Sales,503
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,201
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,202
